obj,x_1,x_2,initial_x1,initial_x2,nfev,success,message
1.2687995058116856e-16,-4.000000074140909,-5.999999696348132,-3.4600764678699436,-14.22221304516326,33,True,Optimization terminated successfully
3.406509523185186e-08,-3.9985541153316713,-6.004721891126681,-1.7550628318193624,-1.9403282214516935,45,True,Optimization terminated successfully
2.302209347916708e-08,-4.002119122383668,-6.001660471446122,-3.694482968687664,-5.089955369883777,33,True,Optimization terminated successfully
1.3176627171685627e-08,-4.000476361599024,-6.00330927227082,-6.930270489432362,3.578128990519911,44,True,Optimization terminated successfully
5.22165056839467e-19,-4.000000008319773,-6.000000013895108,-5.505179894882152,-6.995181746914001,30,True,Optimization terminated successfully
3.295121280820738e-17,-4.000000076227048,-6.000000080086455,-0.6829925084605772,0.8742628283111724,34,True,Optimization terminated successfully
9.341630258757935e-08,-4.002281535440137,-6.007953179016622,-7.9813008198259965,0.40734363797239226,45,True,Optimization terminated successfully
1.5930903047198795e-16,-3.99999982465438,-5.999999857193201,-7.233402015296271,8.560054434500202,40,True,Optimization terminated successfully
1.2346256994896392e-10,-4.000121223752947,-5.999771230421954,2.809629389592331,-0.17289487854216645,37,True,Optimization terminated successfully
8.106885689505156e-16,-4.00000042038359,-5.999999849234422,2.6984222803620206,-12.61063568972817,33,True,Optimization terminated successfully
1.467378484598438e-09,-4.000504346534536,-5.999449383138155,-2.42130864817444,-13.041404868393657,33,True,Optimization terminated successfully
8.312709294811813e-19,-4.000000013171861,-5.999999992641185,-3.5781650860391583,-12.104072530181623,33,True,Optimization terminated successfully
2.0025262253091905e-07,-3.997472632016429,-6.012436921024928,-8.092600424480839,2.9023592693578735,39,True,Optimization terminated successfully
3.35683719728511e-07,-3.9916722740181205,-5.995028957087431,-6.609819990936462,-11.79162947070051,33,True,Optimization terminated successfully
2.1475100990422016e-19,-4.000000006035089,-6.000000006898313,-6.6954068939416045,-4.505211449901022,30,True,Optimization terminated successfully
4.975007735076881e-07,-4.009905694139276,-5.99256632051852,-2.983187731265496,-8.94770321205104,33,True,Optimization terminated successfully
2.025078023629842e-05,-4.043457284438833,-5.89669675741063,-0.3938991217762773,-0.5079049334474508,18,True,Optimization terminated successfully
3.611723820145832e-07,-4.000468559431935,-6.018004914663728,-2.4214491997217626,-3.3932204664432213,39,True,Optimization terminated successfully
2.3785774549986085e-19,-4.000000007314701,-5.9999999997707665,1.9045618166236569,2.4001253663341977,43,True,Optimization terminated successfully
2.232409720078997e-15,-3.99999971908869,-6.0000013013547155,-7.565521022465292,6.022570398214686,40,True,Optimization terminated successfully
3.2790441364768464e-15,-4.000000019470794,-5.999998282553269,4.468266201338828,0.0002508351065024783,43,True,Optimization terminated successfully
9.877711714610815e-20,-4.000000002355572,-6.000000008167284,3.3428009591921732,-4.7515904198667105,33,True,Optimization terminated successfully
4.207263150439616e-19,-4.000000001325219,-6.000000019277678,-1.4928380855843617,-2.173621101116698,30,True,Optimization terminated successfully
1.1924072553055788e-16,-4.000000029751719,-5.9999996778571845,-3.448791054598015,8.296775549913008,43,True,Optimization terminated successfully
5.179083848315642e-08,-4.0020221210082925,-6.00550053280566,-1.9659373975351553,13.612266808346,37,True,Optimization terminated successfully
5.989504905774884e-09,-4.001081840442938,-5.999157955203516,-1.836877597778468,-12.537152331749256,33,True,Optimization terminated successfully
6.5299419251290895e-09,-4.00020679911029,-5.997611300721198,-4.504863974874694,10.52551512013505,51,True,Optimization terminated successfully
1.123326531172669e-05,-3.949734976689284,-6.0019101065014375,-3.905874354280738,-14.183929023154512,18,True,Optimization terminated successfully
5.16884083680188e-11,-3.99990047473654,-5.999916943060108,-6.2923414150397,-12.98566887789136,33,True,Optimization terminated successfully
3.0412411405996963e-10,-4.000117257254855,-6.000467669378288,4.907780171319093,14.117409401315207,45,True,Optimization terminated successfully
1.987642345490321e-09,-3.999992285154237,-6.0013374004768805,2.0038752669888016,3.0545136421640215,43,True,Optimization terminated successfully
1.010531350539561e-16,-4.000000019353646,-5.999999700918796,1.4743979067752235,-9.923236602474663,33,True,Optimization terminated successfully
4.369291685110135e-09,-4.000872886467895,-5.99905944730437,-5.604651522708403,0.7220062590109269,33,True,Optimization terminated successfully
3.440281763906491e-14,-3.999998399663217,-5.999995448272352,-4.6506357831586165,-13.629631042637998,33,True,Optimization terminated successfully
6.414060976257775e-17,-4.000000116532284,-6.000000058373412,4.747301680358191,-1.7593524193545989,33,True,Optimization terminated successfully
2.835798833527044e-19,-4.0000000071890165,-6.000000006963766,-2.439993409312711,-5.2937604739590345,30,True,Optimization terminated successfully
4.338147646373542e-19,-4.000000007991314,-5.999999988381528,-6.103828708792944,-3.393303440377128,30,True,Optimization terminated successfully
3.8348713420328797e-19,-4.000000005693428,-6.000000014679167,2.4802534945175125,7.102411688613387,47,True,Optimization terminated successfully
3.3511530149708306e-19,-4.000000007796246,-6.000000007647085,-4.311841495875438,-14.609479899163482,33,True,Optimization terminated successfully
8.910115027162111e-05,-3.984575172741562,-5.718505179336017,1.961074085488903,-6.918336072110964,18,True,Optimization terminated successfully
4.841196421990423e-08,-3.9972752331197032,-5.996275305436675,-1.259726672064481,-14.233471744509217,48,True,Optimization terminated successfully
2.6761670495934884e-18,-4.000000023831276,-5.999999988302503,-0.06696971097511373,-3.3742972238015554,30,True,Optimization terminated successfully
1.8725537091967922e-09,-3.9996061024591025,-6.001031831986022,-2.5438930189823106,-2.552824878759383,40,True,Optimization terminated successfully
2.0750628898441536e-19,-4.000000006370758,-6.00000000494059,-4.7369214804753925,1.5293371597325773,34,True,Optimization terminated successfully
5.462947545028926e-18,-4.000000034977661,-6.000000004785999,4.5936603481223734,-11.616713542857855,33,True,Optimization terminated successfully
2.5973598090082766e-13,-3.9999941379799586,-5.999990186271504,-5.301122073554296,-13.746068705540699,33,True,Optimization terminated successfully
