,Mean_ASBO,Lower_ASBO,Upper_ASBO,Mean_CBO,Lower_CBO,Upper_CBO,Mean_SCBO,Lower_SCBO,Upper_SCBO,Mean_FDBO,Lower_FDBO,Upper_FDBO
iter_1,-2.2462637778249936,-2.332111384944668,-2.174617182983508,-2.240879422926457,-2.3142024142943804,-2.178166016717158,-2.404494603131249,-2.4807737342716893,-2.3396326905824862,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_2,-3.27088550466594,-3.3546585282817545,-3.2006883454755037,-3.7740068702254352,-3.8758089740262713,-3.6915945794040623,-4.183487448014561,-4.27812199481527,-4.105829829992064,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_3,-3.550987704571518,-3.6397637971302617,-3.4773149579412417,-4.136313015193909,-4.223444315053167,-4.063775416428736,-4.742118595748766,-4.854859219922231,-4.652695365433832,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_4,-3.98765981644933,-4.0611953951724455,-3.924791058163163,-4.577761602004075,-4.700956185258177,-4.4819014531623385,-4.800463947370485,-4.884680817357653,-4.729955698909436,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_5,-4.315518613946091,-4.421822913682861,-4.230185537835397,-5.119136957434918,-5.253860229265553,-5.016460317376293,-4.800463947370485,-4.884680817357653,-4.729955698909436,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_6,-4.68403937998558,-4.794333629490736,-4.596159107756592,-5.4855141019732985,-5.6107199721777885,-5.388443887642351,-4.801354595572359,-4.885156535817327,-4.731137152415533,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_7,-5.0093335138475865,-5.1262891214256925,-4.917284778750769,-5.610108294662918,-5.735504864401142,-5.512923813268785,-4.852713708877653,-4.9252524998309894,-4.7905745115450875,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_8,-5.163386929550054,-5.272110026590705,-5.076505112914935,-5.671038232370675,-5.798463882290507,-5.572642878421337,-4.861247175189623,-4.933313561232141,-4.7994547514469845,0.3135598287688675,0.21049866130583134,0.3967939702827551
iter_9,-5.238618782665492,-5.353970484800003,-5.147564247258339,-5.719113484668283,-5.848545172979866,-5.619529843777789,-4.950746110170036,-5.020511608196595,-4.890652072973115,0.2827665489077059,0.19085261987330937,0.358584853609719
iter_10,-5.277492252278819,-5.390861338455476,-5.187674924251415,-5.7347111812486276,-5.863967941638037,-5.635230812434812,-4.981262694262275,-5.048779027728689,-4.9228440790343235,0.2815512778829327,0.18971683472778345,0.3573155538863739
