obj,x_1,x_2,con_1,con_2,con_3,initial_x1,initial_x2,nfev,success,message
1.6252162434839503e-11,-3.999975410630295,-6.000110491618604,-13.000159670358013,-6.999889508079078,-74.80257313740117,-3.4600764678699436,-14.22221304516326,198.0,True,`gtol` termination condition is satisfied.
6.416425148284175e-13,-3.999995174630667,-6.000022007760143,-13.00003165849881,-6.999977992228215,-74.80051274603491,-1.7550628318193624,-1.9403282214516935,618.0,True,`gtol` termination condition is satisfied.
4.0203436097784545e-10,-3.9998798396392163,-6.000551431660014,-13.00079175238158,-6.9994485611207296,-74.8128504577273,-3.694482968687664,-5.089955369883777,267.0,True,`gtol` termination condition is satisfied.
1.623599829184712e-11,-3.9999754921750843,-6.000110498255797,-13.00015951390563,-6.999889501443886,-74.80257355763925,-6.930270489432362,3.578128990519911,1173.0,True,`gtol` termination condition is satisfied.
6.424844200901382e-13,-3.9999951571974885,-6.000022009657732,-13.000031695262756,-6.9999779903305415,-74.80051273579107,-5.505179894882152,-6.995181746914001,174.0,True,`gtol` termination condition is satisfied.
1.620139491782229e-11,-3.9999754974302695,-6.000110361912509,-13.000159367051971,-6.9998896377873026,-74.80257030215665,-0.6829925084605772,0.8742628283111724,1386.0,True,`gtol` termination condition is satisfied.
1.6243867014632098e-11,-3.9999754516739188,-6.0001104943394905,-13.000159590991654,-6.999889505359199,-74.80257333404283,-7.9813008198259965,0.40734363797239226,753.0,True,`gtol` termination condition is satisfied.
1.6270733790415293e-11,-3.9999752753099336,-6.000110446454068,-13.000159895834202,-6.999889553240277,-74.80257162040851,-7.233402015296271,8.560054434500202,1119.0,True,`gtol` termination condition is satisfied.
1.0036141902714577e-08,-3.9993998104986104,-6.002755289088667,-13.003955668091447,-6.997244530797614,-74.86422158700498,2.809629389592331,-0.17289487854216645,291.0,True,`gtol` termination condition is satisfied.
6.535012256039548e-13,-3.9999951464623305,-6.000022224396313,-13.000031931471652,-6.999977775591909,-74.80051785518353,2.6984222803620206,-12.61063568972817,441.0,True,`gtol` termination condition is satisfied.
2.484942518802391e-07,-3.997006333126595,-6.01370389219516,-13.019691225941969,-6.9862916267841655,-75.1196910644198,-2.42130864817444,-13.041404868393657,225.0,True,`gtol` termination condition is satisfied.
4.176778165706565e-15,-3.999999150979951,-6.00000093582059,-13.000002633860689,-6.9999990641790495,-74.80001974283189,-3.5781650860391583,-12.104072530181623,474.0,True,`gtol` termination condition is satisfied.
