obj,x_1,x_2,con_1,con_2,con_3
-1.740220906649136e-07,-3.9981509458450106,-5.988044086127523,-12.991742194437503,-7.011954204371842,-74.50742766531789
-8.177471625981302e-09,-4.0012708978661635,-6.000948155534975,-12.998406359802647,-6.999051036874332,-74.82682472704523
-4.3751843717666664e-08,-4.002554436830402,-5.99635636592619,-12.991247492265387,-7.00364037150005,-74.72075483725388
-2.379526723110913e-06,-3.9873232432673014,-6.03871399495996,-13.064067508425357,-6.96120565495941,-75.69159994433818
-5.668511585990024e-07,-4.010396686410371,-5.991179473401396,-12.970386100580654,-7.0087664810544466,-74.6217539797433
-3.204216194876098e-06,-4.020512882413418,-6.034650846970336,-12.993625082143499,-6.965138763857211,-75.69974706907149
-3.379779793255031e-06,-3.9729732617815063,-6.01095552367556,-13.065009000112546,-6.988679254035075,-74.97683314182801
-1.6714183469979558e-08,-4.00193924473039,-5.999990800782948,-12.996112311322168,-7.000007318881989,-74.80598555423127
-9.345285072193649e-08,-3.9956092125235085,-5.997355854203171,-13.006137429156155,-7.002634506289497,-74.72250781976825
-2.4610638018145857e-07,-4.006457469254303,-6.007395951965921,-12.994481013457314,-6.992583198579493,-74.99828448878868
-4.995806399644968e-07,-4.010197947537839,-6.005799141318332,-12.985403246242655,-6.994148859614676,-74.97190088346791
-6.209803566912875e-06,-3.966518296650292,-5.966762590753333,-13.033725997452748,-7.032676897017068,-73.89759438299963
-3.541842821215586e-07,-3.996821338699996,-5.9833161664097005,-12.989673489009709,-7.016678781646469,-74.38997499905688
-2.130493836689538e-06,-4.021554895968997,-5.9923194862096745,-12.94920969427168,-7.007448207020208,-74.68485423942519
-3.1620288467140037e-06,-4.0004638860359565,-6.053338215202848,-13.052410443130935,-6.946661677202025,-76.0872915736235
-2.372087711015452e-06,-4.022752610548121,-5.991990393711547,-12.946485172615304,-7.007750765645075,-74.68080964667426
-5.848597640137683e-07,-3.9922869933665974,-6.016982694200415,-13.03240870746722,-6.982987560563922,-75.18349176148195
-1.565504559549744e-06,-3.9827542875512116,-6.01480863640345,-13.049300061301027,-6.985042656297616,-75.10071906819051
-1.2505563750307527e-07,-3.995156088520559,-5.995676094349991,-13.005363917308873,-7.004312173910798,-74.68076783268141
-2.6822745195920566e-07,-4.001260228718316,-5.984668594289062,-12.98214813685243,-7.015330611622726,-74.43654941647353
-4.596225643947171e-06,-4.027721988426931,-6.032597062907273,-12.977153086053411,-6.967018682771556,-75.67331871148956
-2.123156775666939e-07,-3.998501630220293,-5.986505421020904,-12.989502160580319,-7.013493456423098,-74.47169997755267
-4.536054980773322e-06,-4.030256556601326,-5.97949115768214,-12.918978044479488,-7.020051112709175,-74.4056330825655
-1.6974788990564662e-06,-3.980587577274594,-5.995487530069746,-13.034312375520559,-7.004324048852219,-74.62969706215357
-1.4990441385308711e-06,-4.015648717826497,-5.9807747497747235,-12.94947731412173,-7.0191028090404695,-74.38945808860453
-3.0353425537776854e-07,-3.9924669240529775,-6.006796462090351,-13.021862613984396,-6.993175164293037,-74.9391129803785
-9.638398395851045e-09,-4.000644702073261,-5.997351982722263,-12.99606257857574,-7.002647809457356,-74.7385247390879
-4.285257697043241e-06,-4.0309461257953005,-5.994893032173143,-12.933000780582542,-7.004628136475987,-74.7767040694815
-6.454067884470553e-06,-3.96270861615648,-6.015686677792466,-13.090269445479507,-6.9836179985530515,-75.05791811190204
-5.197369547009856e-06,-3.970467689048358,-5.9655180767396745,-13.02458269864296,-7.034045844565253,-73.88048288424842
-3.730144197237187e-07,-4.007134958200018,-6.011492713504102,-12.997222797104065,-6.98848183268164,-75.09893133679158
-3.964806090148969e-07,-4.00621108252034,-5.985768964766557,-12.973346799725876,-7.014211746460406,-74.47874337869929
-6.221179392079406e-07,-3.9895610324492283,-6.011136335626361,-13.032014270727904,-6.988809178351876,-75.03413718922127
-3.49755378269904e-08,-3.9985362318297764,-5.995213820415023,-12.99814135675547,-7.004785108276349,-74.68049387536931
-2.3260112912622927e-07,-3.996445524233871,-5.987398261059456,-12.994507212591714,-7.012595421791558,-74.48650407748357
-7.809963837934974e-08,-4.003066000136566,-5.994282636342534,-12.988150636069403,-7.005712663479047,-74.67266172922359
