,Mean_ASBO,Lower_ASBO,Upper_ASBO,Mean_CBO,Lower_CBO,Upper_CBO,Mean_SCBO,Lower_SCBO,Upper_SCBO,Mean_FDBO,Lower_FDBO,Upper_FDBO
iter_1,1.5606352214797445,1.509043805915279,1.606743507464404,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.5009363081209806,1.4462202730609548,1.5495237047984907,1.5812598406957596,1.5308940667509583,1.626386904668852
iter_2,1.0765685272220282,1.0139261156060098,1.1313039607685025,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4630881477157074,1.4053650197276084,1.514031473628777,1.5755644120216445,1.5245128215776562,1.6212411400871234
iter_3,0.7736282708739194,0.7046799833797638,0.8331153110597715,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4598122334910133,1.4012056674637525,1.5114421923462562,1.5650410135554726,1.5122562717930204,1.6120998771303139
iter_4,0.47684082227109625,0.41064742182365965,0.5342668684426101,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4580406686532494,1.3990315541043459,1.5099826776745415,1.5506174980918719,1.4956136453816915,1.5994316496837504
iter_5,0.2626664118603279,0.20249966638271916,0.31550294688786595,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4564358499745726,1.3971603543223594,1.5085840719745216,1.537806476776212,1.483029440459619,1.5864419552637288
iter_6,0.13117387472464648,0.06952438754679535,0.1851500063352719,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4554642083996092,1.3958813381742579,1.507850098942159,1.5181766372534724,1.4633218491147737,1.566873383014126
iter_7,0.03408915674546343,-0.023438426520543093,0.08488016383460695,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4549271897110883,1.3951811371551288,1.5074391351597223,1.5152558141518884,1.4600467067658687,1.5642315100506048
iter_8,-0.047958807610731444,-0.10487371119889118,0.002354163860405428,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4548295808784624,1.395047094876565,1.5073696589333954,1.5112607156091347,1.4566207991117306,1.5597880979218675
iter_9,-0.12114307639992995,-0.17049154939122263,-0.07683424057030101,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4956886393409872,1.4408883845177531,1.544342415718423
iter_10,-0.1774362398257836,-0.22538763707331733,-0.13425674713560684,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4824570467531943,1.4277925724062948,1.5310037933334353
iter_11,-0.2237685984972467,-0.2739182053761084,-0.1788151112785297,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4761471187706499,1.4209216377883118,1.5251356955230908
iter_12,-0.2616891081644389,-0.3119103805521674,-0.21667805807018714,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4683638130970142,1.4135029476925043,1.5170653468259603
iter_13,-0.2912062738888279,-0.34309608131826963,-0.24485985521404105,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.446528020569891,1.3920559249462197,1.494923020930347
iter_14,-0.3153322051784044,-0.3699183622890648,-0.26684721986159643,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.432531157091602,1.379337810565029,1.4799144299841234
iter_15,-0.34217903987773685,-0.399236342702209,-0.29175485606625845,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4107366045572898,1.3551531356793773,1.4600065881125315
iter_16,-0.3663779824468356,-0.42565290725173,-0.3142302021157203,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.4039729697885188,1.3481900215650893,1.4533995802719613
iter_17,-0.38643863396156136,-0.4473832390144507,-0.33300339837282295,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.383520223767636,1.3273551872284217,1.4332464835977052
iter_18,-0.40815309694053625,-0.4717008519755855,-0.35272799863801896,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.372289189576739,1.3168883940969687,1.4214156291580684
iter_19,-0.4217620130488112,-0.4874215298688987,-0.36473803083335743,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.3382291999187894,1.2794755382625793,1.389973244852619
iter_20,-0.4373726084674705,-0.5051768127682946,-0.37873870954184957,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.29280692056194,1.2299047386625879,1.3477404989032205
iter_21,-0.44685358771725175,-0.5156586328914056,-0.3874731484485496,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.2718142437460538,1.2073782539503535,1.3279135187472766
iter_22,-0.461665901537661,-0.5331511515362818,-0.4003009652056399,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.2419411086618066,1.1715781573134239,1.3024776572735135
iter_23,-0.47553072409606917,-0.5495330798319107,-0.41232132127774007,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.2208590040389162,1.1470852252209467,1.2839016751218304
iter_24,-0.4909306102683135,-0.5670511819663572,-0.4261832985190509,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.1859509266041932,1.1072798955977012,1.2525329095861324
iter_25,-0.5011083066697521,-0.5786359152489318,-0.4353465535551103,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.16850198250869,1.0858433703307802,1.2379156680741652
iter_26,-0.5137672235713526,-0.5937723652480447,-0.4462328925368312,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.1371087734709187,1.0482905017167814,1.2108105345186295
iter_27,-0.5237308167536507,-0.6046620171357328,-0.4555383628295284,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.0948980418490526,0.9993310285624593,1.1731816419335628
iter_28,-0.5357599166842131,-0.6185239678693105,-0.46627195671842026,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.0784857466353264,0.9804245681633433,1.1584327446216272
iter_29,-0.5473547626503804,-0.6316669788386473,-0.4767797571258857,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.0461900206740946,0.9445298848207878,1.1285093948863345
iter_30,-0.5565147205404437,-0.6415093110215685,-0.4854626739676375,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.0269712821152128,0.9213699973938821,1.1118515595379
iter_31,-0.5736339854669146,-0.6513993568088465,-0.5077013685108329,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,1.0066690994746574,0.8973179006547286,1.09395077904547
iter_32,-0.5888963388816084,-0.6614284886890262,-0.526762012018119,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.9901181913117881,0.8781487999664538,1.0790565243417272
iter_33,-0.6054575663688581,-0.6727299826376063,-0.5472215595355251,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.9564692672439571,0.836339050329619,1.050468403933562
iter_34,-0.6218070508399288,-0.687029200252786,-0.5651130934583527,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.915417543072204,0.7920057609168163,1.0114087997777774
iter_35,-0.6373614855576878,-0.7002768216110058,-0.5824178791876773,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.8852689258035942,0.7577460880640073,0.9837220512147254
iter_36,-0.6569771521023433,-0.7139339965704614,-0.6066314184874502,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.8500045117113336,0.7188522170600585,0.9506004309155321
iter_37,-0.6688595687222407,-0.722341539079728,-0.6212474743194678,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.8056298998044497,0.6662791154042172,0.9109630230693314
iter_38,-0.6810515110984017,-0.7324866621500564,-0.6350680500078433,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.7513157843863677,0.6140204509067985,0.8554744471041574
iter_39,-0.6950359538934747,-0.742765772454778,-0.6520361817555111,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.7224896259880583,0.580936326150823,0.8290715975536246
iter_40,-0.7122174487362688,-0.7523544903877735,-0.6754780377659234,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.6609940852263805,0.5124615036055024,0.7714686832219271
iter_41,-0.7238453826535072,-0.7630200918209081,-0.6879138274204579,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.6195832935806405,0.4671225286771588,0.7322064503087606
iter_42,-0.7369394447244362,-0.7741665206880597,-0.7026530087482665,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5955820353311347,0.43875411582041446,0.7105589158909202
iter_43,-0.7455398264816684,-0.781747919491455,-0.7121195462778033,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5650971114776484,0.4235240582062392,0.6716902386162432
iter_44,-0.7578921604836786,-0.7885609212965585,-0.7292470304617391,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5360453962030438,0.39448194443623863,0.6426331010780479
iter_45,-0.7670887934312532,-0.7978113547508713,-0.7383967364827149,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5259594241666711,0.380744058342122,0.6345960248017231
iter_46,-0.7774768653585843,-0.8054209586908149,-0.7512226141001718,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5053597472918967,0.37010466813101905,0.6083439508119547
iter_47,-0.7852639899368039,-0.8124504175780213,-0.7596796125816208,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.5006794235689526,0.3636000392947559,0.6047141873609102
iter_48,-0.7951871624202583,-0.8210288609164124,-0.7707971405040007,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.47524411828125335,0.34260559386368805,0.5767093183615248
iter_49,-0.8059163018433347,-0.8304761636764411,-0.7826713035077907,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.47332269911291036,0.3400496502664077,0.5751575933093556
iter_50,-0.8131119304440926,-0.8363630318304021,-0.791042634941092,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.46418145717203,0.33672568745620374,0.5625947174688984
iter_51,-0.8220327843492133,-0.8443177297832573,-0.8008357490560083,1.5398893881662066,1.4877197648076912,1.5864588478813122,1.4545226730148948,1.3947220409869359,1.5070767612231522,0.4515146586003973,0.32815240825424397,0.5474760256536272
