obj,x_1,x_2,iterations
-2.160384042990608e-06,0.4010597818789623,0.30101845295031915,95
-4.2393646515348153e-07,0.4002690296090672,0.3005929245606303,85
-9.405464372571767e-06,0.39785550845254203,0.29780759940351836,57
-3.747651628356181e-05,0.3946843699668882,0.3030365430401431,56
-7.104435674384405e-06,0.402662787225093,0.29988167896101736,62
-1.260643751059754e-08,0.3999734157361168,0.3001090858122048,97
-3.324921099864786e-06,0.39817922166556563,0.3000984243705548,65
-1.1862807551712207e-06,0.40082631991029566,0.3007095605407717,76
-3.500483434477178e-06,0.398574055565728,0.29878873375971843,66
-5.606922554479932e-06,0.4019763530229962,0.30130420523038887,60
-4.73511973915909e-06,0.40065901411904226,0.30207384187682235,81
-3.7946758036690924e-06,0.39857577833568064,0.29867098967101363,79
-5.97879000372182e-08,0.39995812956150467,0.300240904060608,68
-9.33106797719326e-06,0.40097103781170307,0.3028962309205994,63
-5.408940338001604e-06,0.40090362893210524,0.2978570125779501,67
-1.4848871316220843e-06,0.3987829901047339,0.29993856673176195,66
-5.600495206503431e-06,0.39774647545125463,0.3007225803171311,59
-1.3151524242456208e-06,0.3989819759571993,0.30052799571260125,94
-1.4696622908966753e-06,0.3996490049852621,0.3011603726946657,100
-1.4300909061248272e-06,0.3994389526639505,0.2989439144008005,75
-8.521574735737104e-06,0.4024194978377636,0.3016332804256448,64
-1.9028851489988066e-07,0.3997123613586758,0.29967204798076996,72
-8.140984880559453e-06,0.4011180795085283,0.3026250491601432,75
-2.990471584177735e-07,0.4000624748104794,0.300543271623107,95
-6.677092612534943e-06,0.4004539946320944,0.3025438123921713,68
-6.5430746817005285e-06,0.40249970181248895,0.29945726108455345,67
-6.162236807396793e-07,0.4002373235467031,0.3007482654708858,89
-3.4680679869543296e-06,0.3981684047717824,0.29966335938016225,67
-6.7755976128140285e-06,0.40239335335189375,0.29897654636363286,67
-1.6671305499016901e-06,0.39894834484856107,0.3007491007891823,100
-6.685405782476018e-07,0.39987687043191655,0.3008083190506917,94
-6.388983796243677e-07,0.40079057282871666,0.2998821315049755,76
-1.9410014584065713e-06,0.39985717516646846,0.3013858580466026,75
-1.7893322484984774e-05,0.39730855917201996,0.30326335237975716,56
-1.1499991715133834e-05,0.39902644157409667,0.2967515887411711,70
-1.2968979701702285e-06,0.39951602121070523,0.29896914477171477,68
-7.515792959897702e-06,0.4011211991310121,0.3025017404878435,85
-7.494390790804742e-07,0.3993384427494473,0.29944162639449773,63
-4.830360961289994e-09,0.3999724268913269,0.30006379721498144,73
-7.0150857513440636e-06,0.39738014617113054,0.29961083208418215,81
-7.071623799188432e-07,0.3999458623611255,0.3008391850189177,83
-9.833558560317964e-08,0.4002003369123996,0.29975875177278705,100
-4.535718130426571e-06,0.39814074758377904,0.3010387004299618,86
-3.7310714664551224e-06,0.3991621645791261,0.30174043192167466,75
-1.8856636971530615e-06,0.3994427731819986,0.30125505456871526,83
-6.268924606630268e-06,0.39967718595232127,0.29751711544826354,62
-5.053569701800526e-06,0.40165142962423794,0.30152523765295447,80
-6.381424954100549e-06,0.39889417406232613,0.30227124942480305,61
-1.9905289418101142e-05,0.3955904523092471,0.299320898696013,56
-5.3136531196392985e-06,0.4018741488456726,0.29865790491249555,58
-1.4207033406079472e-05,0.3992176031529809,0.29631287529640593,56
-7.644201530269332e-07,0.39980321180970596,0.30085187708103206,74
-8.186842473493174e-07,0.39911465475079844,0.30018667628951073,65
-7.724626961281024e-06,0.40225376947845576,0.30162639174225103,59
-5.7969319407198465e-06,0.4018961012363434,0.30148382345387076,57
-7.028701995795863e-06,0.39770851475614205,0.3013333406815128,65
-3.1736362272396483e-06,0.4017477152983779,0.29965485153476273,82
-1.8047316765702442e-06,0.4009805811295387,0.30091825504352704,87
-5.653984473019559e-06,0.3978241864171261,0.29904092767446827,78
-3.3966205293935254e-07,0.39951660103268094,0.3003255572013244,92
-1.785106170163641e-05,0.4040301740169525,0.30126836867460427,52
-1.0197870269060137e-06,0.39945560597233726,0.3008505422796964,59
-4.74027010606055e-06,0.399285580706629,0.3020566660349506,78
-5.328906248265174e-06,0.4015551469073978,0.3017059965840166,75
-4.932706492866112e-06,0.40130387878476514,0.2982020548930778,81
-2.2383747990770593e-07,0.40010521503240737,0.29953873296577443,93
-2.4872481956322485e-05,0.39995671541273053,0.2950129559455698,57
-2.106576029450484e-05,0.402939772605896,0.2964753018114839,54
-4.6144033722501875e-06,0.40048735626127435,0.30209210115597857,79
-3.3231852348040785e-07,0.4002987671803504,0.2995069921953702,80
-1.1587216097053333e-05,0.397631372763604,0.29755524620624973,71
-1.4146646783803922e-05,0.4029785514113556,0.29770328968441473,58
-1.0341310151589363e-05,0.40321007129004444,0.3001917093227309,61
