obj,x_1,x_2,x_3,x_4,x_5,con_1,con_2
-255.22625489,82.55674531735369,49.795001073683906,4.725034417436424,37.28805772351479,0.5231234585419358,0.988435439,0.980975731
-258.21081518,68.20498237837373,50.464044585191346,4.890878281492111,32.761863831859024,0.4104739997995466,0.985434773,0.979232257
-248.61925115,57.81892497431694,50.08654998492122,4.585910221250139,31.64045026049574,0.6408941474881091,0.98376122,0.979622811
-259.95657859,68.08163207253371,50.44834732981483,4.94207097265979,24.600276281923982,0.6472229072926856,0.986047504,0.992513008
-274.83418312000003,74.71271745842826,50.177546562447894,5.286326752844123,26.27444808143655,0.5996045383032156,0.990051048,0.991069538
-260.7945912,68.58153529001093,50.43809329833524,4.531670463315135,23.62601142317778,1.5603921556760603,0.980939827,0.981188916
-273.81025697,59.25370516701777,50.42560843586054,5.056435893267151,35.22815814637779,0.5959598036499996,0.986832778,0.993387882
-299.59860527,59.822268225632186,49.98210276091977,5.610019635126128,42.55471453207064,0.4832944351823955,0.990730644,0.987225249
-258.4715355,80.1392059876085,50.05742004982227,4.73015094475755,26.822444671914656,0.957916823684063,0.987438818,0.98357847
-291.68799289,82.42265140111373,50.7327627880148,5.643078150137341,23.6212953743837,0.596115476063452,0.98399468,0.997459253
