obj,x_1,x_2,con_1,initial_x1,initial_x2,nfev,success,message
-268.78838103316497,3.271189834410146,0.04969917397580854,[-8.31346458e-09],1.5399235321300564,0.38889347741837,48.0,True,`gtol` termination condition is satisfied.
-200.66282779946073,-4.164125564623455,14.799065211969044,[-1.60611062e-08],3.2449371681806376,6.529835889274153,228.0,True,`gtol` termination condition is satisfied.
-268.7883810416733,3.2711898291791077,0.049699176045633994,[-7.00305769e-09],1.3055170313123359,4.955022315058112,54.0,True,`gtol` termination condition is satisfied.
-200.66282780022857,-4.164125564929942,14.799065231663175,[-1.61317777e-08],-1.9302704894323623,9.289064495259955,210.0,True,`gtol` termination condition is satisfied.
-268.7883808282727,3.2711898174572323,0.049699188458399934,[-3.71306701e-08],-0.5051798948821524,4.002409126542999,72.0,True,`gtol` termination condition is satisfied.
-268.7883810361163,3.2711898436877056,0.049699169701472784,[-8.07150968e-09],4.317007491539423,7.937131414155586,66.0,True,`gtol` termination condition is satisfied.
-200.66282784363506,-4.164125567014907,14.799065270623235,[-3.61483821e-09],-2.9813008198259965,7.703671818986196,210.0,True,`gtol` termination condition is satisfied.
-200.66282779605527,-4.164125564035156,14.799065178973363,[-1.65830327e-08],-2.233402015296271,11.780027217250101,210.0,True,`gtol` termination condition is satisfied.
,,,,7.809629389592331,7.413552560728917,,,`x0` violates bound constraints.
-220.17342701138534,9.072205657454516,0.19079257119659612,[-6.85026524e-09],7.698422280362021,1.194682155135915,198.0,True,`xtol` termination condition is satisfied.
-268.78838104174906,3.2711898359706315,0.049699172986378715,[-7.12244219e-09],2.57869135182556,0.9792975658031716,81.0,True,`gtol` termination condition is satisfied.
-268.78838080389164,3.271189795011937,0.04969919937594878,[-4.01682172e-08],1.4218349139608417,1.4479637349091883,45.0,True,`gtol` termination condition is satisfied.
-200.66282780023235,-4.164125564918973,14.799065230880357,[-1.61185802e-08],-3.092600424480838,8.951179634678937,204.0,True,`gtol` termination condition is satisfied.
-268.78838104166584,3.2711898290910053,0.04969917608553615,[-7.00242531e-09],-1.6098199909364617,1.6041852646497445,54.0,True,`gtol` termination condition is satisfied.
-200.66282779750193,-4.164125564412604,14.799065201980182,[-1.64994702e-08],-1.6954068939416045,5.247394275049489,213.0,True,`gtol` termination condition is satisfied.
-268.7883810398107,3.271189829852491,0.0496991758048499,[-7.28087279e-09],2.016812268734504,3.0261483939744798,138.0,True,`gtol` termination condition is satisfied.
-268.7883808061378,3.271189797090303,0.04969919836539851,[-3.98885742e-08],4.606100878223723,7.246047533276275,75.0,True,`gtol` termination condition is satisfied.
-268.7883808058441,3.2711898024875854,0.0496991959460202,[-4.00337932e-08],2.5785508002782374,5.803389766778389,51.0,True,`gtol` termination condition is satisfied.
-268.78838080584535,3.2711898024879233,0.04969919594582656,[-4.00336244e-08],6.904561816623657,8.700062683167099,69.0,True,`gtol` termination condition is satisfied.
-200.662827797028,-4.164125564149136,14.799065184587247,[-1.63753668e-08],-2.565521022465292,10.511285199107343,162.0,True,`gtol` termination condition is satisfied.
-268.7883810405484,3.2711898353935283,0.04969917328627666,[-7.28215532e-09],9.468266201338828,7.500125417553251,198.0,True,`gtol` termination condition is satisfied.
-220.17342679988474,9.07220565272412,0.1907925786338021,[-3.52144536e-08],8.342800959192173,5.124204790066645,177.0,True,`gtol` termination condition is satisfied.
-268.7883810416292,3.2711898340395424,0.04969917385953101,[-7.10248216e-09],3.5071619144156383,6.413189449441651,63.0,True,`gtol` termination condition is satisfied.
-200.66282779756872,-4.1641255644424096,14.799065203915035,[-1.65090261e-08],1.551208945401985,11.648387774956504,216.0,True,`gtol` termination condition is satisfied.
-200.6628277997172,-4.164125564875739,14.799065229114694,[-1.62471094e-08],3.0340626024648447,14.306133404173,108.0,True,`gtol` termination condition is satisfied.
-268.7883810333848,3.271189834441684,0.049699173954262134,[-8.28280378e-09],3.163122402221532,1.2314238341253718,51.0,True,`gtol` termination condition is satisfied.
-200.6628277995161,-4.164125564651969,14.799065213841224,[-1.60731437e-08],0.49513602512530586,12.762757560067525,207.0,True,`gtol` termination condition is satisfied.
-268.7883808058353,3.2711897954549145,0.04969919911156998,[-3.99002582e-08],1.094125645719262,0.40803548842274384,48.0,True,`gtol` termination condition is satisfied.
-268.7883810416728,3.271189829208471,0.049699176032435635,[-7.00369451e-09],-1.2923414150397,1.00716556105432,54.0,True,`gtol` termination condition is satisfied.
-220.17342705214628,9.072205658385675,0.19079256976205697,[-1.38483713e-09],9.907780171319093,14.558704700657604,471.0,True,`xtol` termination condition is satisfied.
-268.7883808061476,3.2711898041225798,0.04969919519999562,[-4.00219715e-08],7.003875266988802,9.02725682108201,72.0,True,`gtol` termination condition is satisfied.
-220.17342701084448,9.072205655888657,0.1907925713129576,[-6.84393164e-09],6.4743979067752235,2.538381698762669,222.0,True,`gtol` termination condition is satisfied.
-200.6628277991461,-4.164125564573623,14.799065209239345,[-1.61142371e-08],-0.6046515227084033,7.861003129505463,219.0,True,`gtol` termination condition is satisfied.
