0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,218.84625,153.59625,-inf,-inf,-inf,178.75125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,191.98125000000002,-inf,-inf,-inf,188.06625,-inf,-inf,247.78124999999997,-inf,-inf,-inf,-inf,-inf,-inf,-inf,190.63125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,183.38625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,186.44625000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,165.16124999999997,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,195.67125,-inf,-inf,-inf,-inf,-inf,261.1190178119166,265.935084197752,267.43858160733424,267.75829058232364,267.9502503495452,267.9702812526566,268.0040566569442,268.08124277090417,268.1076782255738,268.1233951568199,266.7316168626679,268.25077074747435,268.1294671147943,268.3161513567332,268.37033672878624,268.19343816193424,268.33138257211465,268.3203646198472,268.47013548713187,268.41287779302434,268.5191179712599,268.33973684053586,268.41463445507253,268.42906281697793,268.555466488026,266.98844957364713,268.4058178416069,268.57246182494976,268.5833824736908,268.54737515164993,268.55110382373294,267.63704330827716,268.11977330995677,267.3906424258303,268.5981581396196,268.57445217581585,268.60048797729905,268.530914298684,268.3996492565966,268.6081936165467,268.4225966963415,268.424428950359,268.4286811433948,268.58615910357133,267.9124961454778,268.63698003310725,268.4878846059735,268.6430578187194,268.1432075584255,268.5424585027885
-inf,-inf,-inf,-inf,122.50125000000001,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,207.64125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,184.96124999999998,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,182.71125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,197.69625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,188.83124999999998,-inf,-inf,-inf,212.90625,-inf,-inf,-inf,-inf,131.95125000000002,-inf,-inf,-inf,186.80624999999998,-inf,-inf,-inf,-inf,-inf,-inf,-inf,197.65125,-inf,-inf,-inf,170.38125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,245.5931813488338,258.3944682775957,263.6338742387936,264.96034122700706,265.3112982013869,266.1338742667691,266.7510989840239,267.1816066848389,267.55782060531743,267.84158436979584,268.005852790275,268.0037925414193,267.0618362724931,268.15318857814486,268.2306780985686,268.10416904611475,268.3024918381942,268.3335149379008,268.2925380336841,268.06551983064855,268.2861816107901,268.268500138321,268.44186740368076,265.7041612378241,268.20292026801303,268.1531495198629,268.4832692709396,268.4098748197948,268.3231207514614,268.54017219901476,268.5602472586874,268.45638107162137,268.55947065076407,268.1610002084414,268.5962843723122,268.58252987447446,268.5983703154115,268.42428419542296,268.59662166592113,268.2303729507879,268.4039770527429,268.3312362026383,268.6126165622236,268.6261148485605,268.593665050318,268.6389852952882,268.5814538988087,268.6407497496607,268.64116691740816,268.6489479762007
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,182.98125,-inf,169.61624999999998,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,186.76125,-inf,-inf,177.67125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,160.93125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,128.93624999999997,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,247.16618322596543,258.36862239061634,262.9537710799168,264.4605296626211,265.0915659253791,266.3003663440203,266.997739644782,267.7772535233991,268.0089686877254,268.1666563997078,268.2725963588293,268.35796257516176,268.3852382215039,268.24743133901165,268.4406732029772,268.3034665525057,268.44107480980955,268.4831552077594,268.28176279911366,268.5116201227435,268.34029727563643,268.5184980758989,268.5224204768522,267.99354482482994,268.5199512671801,268.53884308119683,268.52056336842475,267.1708087217109,268.5315994657808,268.5746560799729,268.5803016163606,268.06145425480776,268.5862083936738,268.5938447681016,268.59490404228626,267.8169741642521,268.59386505356144,268.46636672126766,268.6097926250868,268.523431573474,268.4898334258699,268.62376130622977,268.6168629214263,268.6302712404781,268.62029522996176,268.20049797232724,268.5734368133983,268.59895010210596,268.6338841913747,268.2727690777593
-inf,-inf,-inf,-inf,112.10624999999999,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,186.89625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,231.35625000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,163.76625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,153.59625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,188.38125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,248.71685287484524,261.69987371338203,265.77197901404986,267.6401532325745,268.0703126989865,267.6623486188219,268.2310007127065,268.3009045355526,268.206202945687,268.42932642568866,268.4232710394128,268.47411462162376,268.48627499010837,268.31068144559737,268.39809305964104,268.4968102226303,268.3737642429935,268.033457422928,268.1943596142373,267.90270474163026,268.54587989805844,268.5125239254017,268.5174198707044,268.21441595717937,268.56534621790644,268.54971439204314,268.5576677577367,268.49286255322875,267.97083139633804,268.4884343544432,267.89266586690707,268.5911974943835,268.59403529699483,268.57237402644256,266.7350519819994,268.13835188173266,268.6013666076725,268.4197000496714,268.0980498060057,268.53730811969297,268.52619398412764,268.3756755445892,268.6090512468406,268.6011745881057,268.6015715869647,268.59915263188543,268.1437560504409,268.64246002860233,268.6474921520931,268.5277538840653
-inf,183.20625000000004,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,176.90624999999997,-inf,-inf,-inf,-inf,211.06124999999997,-inf,-inf,-inf,-inf,-inf,223.48125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,192.97125,-inf,-inf,-inf,186.62625000000003,193.78125,-inf,214.57125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,142.21125000000004,-inf,252.10125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,194.54625000000001,180.28125000000003,-inf,-inf,215.78625000000002,-inf,-inf,-inf,-inf,162.82125,-inf,260.9296290357193,266.0542831972068,267.8109063322519,268.1682048091871,268.09943620355347,268.1677932584439,268.2254286374502,268.33520938261995,268.3626465287462,268.16900781297886,268.39198402309427,266.93709301744013,268.3745290512122,268.4655036292033,268.40659646894017,268.31387762284277,268.32324049995646,268.4451841507042,268.49624615912273,268.5245844451519,268.53278003632465,267.9503021092405,268.5460645913676,268.55517689327144,268.56330669084525,268.0199452689027,268.5540310301809,268.57989643552094,268.58660873938334,268.3988363320185,268.5768101692716,268.59434909817696,268.51526279803636,268.49547917160555,268.6021956136029,268.5743195470207,266.77965345732844,268.326774161269,268.27809641465035,268.58549710292397,268.6350556482584,267.91954469069617,268.61878935990785,268.6345791985718,268.62438741917873,268.64827048736555,268.6491050116063,268.6540207016272,267.7268145244308,267.3161654975687
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,264.88125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,194.50125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,225.28125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,237.20624999999998,-inf,-inf,-inf,218.98125000000005,-inf,-inf,-inf,-inf,-inf,189.01125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,190.85625000000005,-inf,-inf,-inf,-inf,-inf,-inf,-inf,195.26624999999999,-inf,-inf,-inf,-inf,-inf,266.40790669959455,267.07940653625127,267.3299096962661,267.4618449655246,267.5454409908263,267.60485796257694,267.65480350451776,267.6827864984697,267.76467060867634,267.7990399566923,267.8520661821504,267.89054827737857,267.9253769716668,267.8619058753705,267.7960377703763,268.1826242485011,268.24152832499345,268.2759186909398,268.3296870753274,267.6907371032183,267.84014990611894,268.26694192369325,268.3599513312276,268.3732734788785,268.4268915930656,268.4599841945363,268.4826861827722,268.04784570988085,268.5027228848919,268.3767399754628,267.99362312558407,268.5345032817604,268.5526154584223,268.4711421432541,268.5437016024956,268.5848849520312,268.49648813347335,268.5506401939377,268.1530985702133,268.5986780954021,268.5696694760366,268.52142211739624,268.61326766831263,268.58168827955996,268.5165649857649,268.57591386120504,268.538733680426,268.6374090719724,268.6332729870946,268.294023377424
-inf,-inf,-inf,-inf,215.33625000000004,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,169.30124999999998,-inf,-inf,-inf,-inf,-inf,182.98125,108.82125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,200.21625,-inf,-inf,-inf,142.25625000000002,-inf,-inf,-inf,-inf,-inf,-inf,199.45125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,188.38125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,176.68125000000003,118.54125,-inf,-inf,-inf,-inf,-inf,-inf,132.13125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,187.12125000000003,263.15448285670607,264.60509602316006,266.06191689924026,267.3123293745866,267.866987068202,268.07973376550353,268.1392921673213,268.17978842864653,267.9254178233547,268.3255683062894,268.3127964386924,268.35996055616295,268.38170565441624,268.2882193598651,268.4512731625863,267.8781518246202,268.02055848933446,267.94228873534473,268.4507084199016,268.43123485819456,268.49702152733147,268.367372697496,268.5217331180255,268.5554137750737,267.9179600885773,268.56040423363675,268.1839153200012,268.4748051142664,268.5121448129491,268.5890902977117,268.22197271859727,268.59463847714574,268.5994559727426,268.60132939728743,268.0677657238766,268.36099794012523,268.562858273898,268.5618864229401,268.6178620038319,268.6171056766921,268.62303921556025,268.6292012721844,268.5732624471944,268.63990206214515,268.6244243987461,268.49558594619964,268.6440726844816,268.6414367533686,268.6420597120684,268.64904619819055
-inf,-inf,-inf,-inf,203.18625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,196.03125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,195.62625000000003,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,237.07125,-inf,-inf,-inf,-inf,-inf,188.42624999999998,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,262.8437212286432,265.0771796680935,265.6197496901766,266.6141966665929,267.55819521156076,267.948150235015,268.1864757233113,268.3113902378056,268.35515715038196,267.9301980305484,268.4345754979518,268.46126479021586,268.06497549398836,268.4452595788979,268.4996269948381,268.48843553739005,268.5254668089,268.53176977659837,268.54579178165375,268.50949668048037,268.54814399044096,266.73299225860137,268.50337811238336,268.1360921203273,268.57301132586423,268.53207019920376,268.5890062062649,268.28659518167035,268.3428428687952,268.4966166705945,268.61117614432925,268.4433637806829,268.61791602854254,268.61459844601785,268.2949486358809,268.58841698309544,267.67806535901354,268.62790917360496,268.59662931240655,268.4285401131508,268.1088682667129,268.44227785887057,268.6317487042325,268.3219102143061,268.57493528071586,268.515961542445,268.1965353909009,268.2868618208987,268.6406415878431,268.5027662129016
-inf,-inf,-inf,-inf,212.90624999999997,-inf,-inf,-inf,-inf,-inf,-inf,-inf,176.90625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,172.54125,-inf,-inf,-inf,-inf,-inf,-inf,165.43124999999998,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,249.65179754893245,256.1941795408646,260.5788817495208,264.82501344827085,266.5732976795796,267.2811174881987,267.66310352591296,267.98726331090006,268.0305614692787,268.2885187428644,268.3022321859722,268.0807594233351,268.3300738782315,268.10823259471346,268.32433904604045,268.4685021157046,268.30962380601096,268.3332495849306,268.2427469291381,268.51366375954535,268.3084367819262,268.3388803354535,268.16571629470013,266.2957279642605,268.46178263799214,268.11767803582813,268.31872367055615,268.55023307016285,268.55184122247204,268.53500820193494,268.5175069239326,268.5876452415498,268.56809210329993,268.6049953473844,268.5474111286064,268.6078661140347,268.6205790629411,268.395832361944,268.5303982120562,268.6106718006656,268.58461156902644,268.3540417326312,268.6054971978025,268.4464200383344,268.64600036262823,268.44912432894637,268.6498889657357,268.6120429202543,268.52924728859904,268.61408731996175
-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,186.76125000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,197.92125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,190.00125,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,149.45625,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,251.91284114893622,261.36532649220516,264.7071344618972,266.2376110658687,267.2078162488038,267.60713956584874,267.8525603990719,268.04393012961174,268.1380505365019,268.22669937673663,267.8964232146437,267.81017522477146,268.38717753011326,268.03312538618354,268.1396060297846,268.45058164291083,268.4199481789598,268.5050926246455,268.5168322032236,266.90162519675175,268.4772195502232,268.54763358887215,268.4019248725989,268.5183873961671,268.5057170428618,268.4367800341404,267.77511699627354,268.5869240938489,268.54672874686486,268.54302406517104,268.5295344835219,268.27965637823263,268.48472982945776,268.54330744690236,268.4382664376687,268.55340045972923,268.22271614251594,268.62290149377515,268.480490409732,268.35437034638835,268.62567140396203,268.35345285786934,268.5746324066301,268.6359605661853,268.6424791401985,268.4542064748392,268.6441977247465,268.5816895426891,268.6271934437668,268.25829520248834
