obj,x_1,x_2,con_1,con_2,con_3
-1.474725469293903e-06,-4.011240082683945,-6.028668712691657,-13.006188547323767,-6.971268117578972,-75.52568642725494
-3.6740437583574475e-06,-4.02872398731973,-5.997476194867749,-12.940028220228289,-7.002111271408479,-74.83152318892333
-1.6506851832814496e-07,-4.000632850402264,-6.012122692273945,-13.010856991469417,-6.9878771074762405,-75.09326373529777
-3.01341880715263e-06,-4.017711929392548,-6.038173644772422,-13.002749785987326,-6.961669499006175,-75.77582284539325
-4.04587806042926e-06,-4.0236671529341965,-5.9625733551818545,-12.915239049313461,-7.0371465777541395,-73.98040894806422
-4.963497754819042e-06,-4.012148663665474,-5.937736143197601,-12.913438815866652,-7.062190061787971,-73.35232625420552
-1.1861098973671265e-07,-4.001503144073125,-6.009884944225678,-13.00687865607943,-6.99011392605327,-75.04224459858337
-4.531395517289909e-07,-4.009514859612199,-6.006759836003683,-12.987730116779286,-6.993194897719597,-74.9927931121237
-1.0853645739173619e-05,-4.031793799020235,-6.07566305928721,-13.01207546124674,-6.92383151788472,-76.72930554597042
-5.343398957736038e-07,-3.989715939173552,-6.007606462901238,-13.028174584554133,-6.99234065614522,-74.94978298392223
-8.572415801490326e-06,-3.961281758609729,-5.958542004921603,-13.035978487702145,-7.040708443970219,-73.68484709682473
-1.1355891986145556e-07,-4.004963461258123,-5.998087086716101,-12.988160164199854,-7.001900595310069,-74.76998540287642
-3.5193519941183473e-06,-4.0079045643474,-5.945986221715031,-12.93017709302023,-7.053982537216208,-73.53481139998915
-6.34017132356957e-06,-4.036839680895137,-6.016658506457373,-12.942979144667099,-6.982662912498398,-75.31851757793387
-6.814452993477165e-06,-4.015287690921158,-6.072098222719607,-13.04152284087729,-6.9277849205335436,-76.58972100635566
-7.967325746873543e-06,-3.9933019323679284,-6.083613017719557,-13.0970091529837,-6.916364550225441,-76.79926985513308
-8.809771328349063e-07,-3.997293331512316,-6.0276328645337856,-13.033046201509155,-6.9723634724390635,-75.45605602526581
-3.397794163630029e-06,-3.9795753333671273,-6.037273941554538,-13.078123274820284,-6.962517474941929,-75.63207779092315
-3.330145676267841e-06,-4.001841164990964,-5.945377920631439,-12.941695590649513,-7.054620384424299,-73.50092964421242
-2.0002034901410141e-07,-3.9962802047410433,-5.988834391774809,-12.996273982292722,-7.011158689786807,-74.52037416675618
-5.600098027348275e-07,-3.9939497589297086,-6.01890997499805,-13.031010457138633,-6.9810717222934455,-75.23520112392053
-8.03513743177498e-07,-3.986831562604477,-6.005434279630327,-13.031771154421374,-6.994479016497953,-74.88837745580106
-1.5982211875733971e-06,-4.004175451048702,-5.963004574566907,-12.954653672469501,-7.036986708237364,-73.92821204284586
-4.92886642422745e-06,-3.9674310086347546,-6.013893271306901,-13.079031254037393,-6.985576359093824,-75.02981593281176
-2.524999999999999e-06,-4.00525,-5.9535,-12.943,-7.046486218749999,-73.70513001249999
-1.6929654563810214e-06,-4.01731161548696,-6.018025004512329,-12.983401773538407,-6.981825149472287,-75.28870701783566
-1.9938168614456418e-06,-3.9860944864614734,-5.968047191857044,-12.995858218934098,-7.03185612648957,-73.99071559780359
-3.194941905367446e-07,-3.9935684476869047,-5.988950777816574,-13.001813882442764,-7.011028539750848,-74.51449014379061
-5.241375655601503e-07,-4.00094015193425,-5.978362341476808,-12.976482037608308,-7.021637216580363,-74.28464123494287
-6.446899573296605e-07,-4.007546969611312,-6.01877215918163,-13.003678219959006,-6.981199362443213,-75.27539830238607
-6.127292994412457e-06,-4.004221344660179,-5.926221380522463,-12.917778691202106,-7.073769709602166,-73.05371156878587
-8.58068865457528e-06,-4.037181233535795,-5.9531721954374905,-12.878809728365901,-7.046136582498887,-73.79977481320005
-5.344999999999728e-06,-4.01275,-6.0645,-13.039000000000001,-6.935418718749999,-76.3971530125
-1.2645336662634167e-05,-3.9471728111393656,-5.985236685172281,-13.09089106289355,-7.01336795888626,-74.2776274930867
-3.0134379706142167e-06,-3.9840567644662577,-5.958825406663633,-12.990711877731117,-7.041047499956726,-73.7642329378439
-1.3292513542809065e-06,-3.9828410725961034,-6.004314053806354,-13.038631908614146,-6.99553873179882,-74.84872483153845
-5.810351030571198e-07,-3.98858330108712,-5.998747987028019,-13.021581384853778,-7.001186842464947,-74.73344745542703
-2.4204405045860986e-06,-4.013387363834634,-6.0382297058890595,-13.011454978219792,-6.961680683355721,-75.76331137073508
-1.2139074132324308e-05,-3.9481840769293393,-6.013623772767972,-13.117255618909294,-6.985033782290196,-74.96206778495082
-5.474284167026189e-06,-4.029342060740609,-6.038510123815708,-12.979826002334491,-6.961059397920039,-75.82127581652526
-7.105000000000028e-06,-4.03675,-6.031499999999999,-12.958,-6.96782471875,-75.67585461249999
-1.2773225958749424e-06,-3.9869337377265057,-6.021602812249534,-13.047735336796523,-6.978311824145566,-75.27762296314978
-4.765151637666281e-06,-3.987028004294735,-6.060129408641613,-13.086073400052143,-6.939786455022098,-76.20886016724356
-1.1401621352122917e-06,-3.9900693861524203,-5.974866803702431,-12.99472803139759,-7.025083887751874,-74.16630840307663
-3.283389491011197e-06,-4.022868451275517,-6.029380032112767,-12.983643129561733,-6.970358484855362,-75.58013078057472
-4.2723632113905984e-07,-3.9902009564452388,-6.00065396534525,-13.020252052454772,-6.999298024027456,-74.78435828850303
-1.0812884409729538e-05,-3.9754439028698028,-6.085554592767928,-13.134666787028323,-6.914143906278938,-76.78949049268228
-1.0617098547332306e-06,-4.014116052000466,-5.987410831125907,-12.959178727124975,-7.012489537412052,-74.54338814035397
-2.41490685379516e-06,-4.018271363147667,-6.02894901247573,-12.992406286180396,-6.970884066168633,-75.55498752067894
-1.3747306894132513e-06,-3.991399987600493,-6.030682515662593,-13.047882540461607,-6.969280504230771,-75.51075796180125
-2.649999999999916e-07,-3.99625,-6.0135000000000005,-13.021,-6.9864929687499995,-75.11236731250001
-2.8081682263558243e-08,-3.99926541351845,-6.0048078108159215,-13.00627698377902,-6.995191919375429,-74.91308312085431
-4.389609021866224e-06,-3.977216797565149,-5.956706226002693,-13.002272630872394,-7.043034236840714,-73.6918956928696
-3.132266216795397e-06,-3.973462181395743,-5.998580024638922,-13.051655661847436,-7.001067847452942,-74.6811444556238
-1.002196643878804e-07,-3.9964811080723246,-6.006377091527841,-13.01341487538319,-6.993616717171959,-74.94187355361241
-2.1285356516847693e-06,-4.013540004515525,-6.034385392209403,-13.007305383178354,-6.965522941929457,-75.6709788042146
-2.9535116479322218e-06,-3.982751972611114,-5.96168312789504,-12.996179182672812,-7.038168124880556,-73.82819724610209
-6.959188029529199e-06,-4.000257364872337,-6.079139145053925,-13.07862441530925,-6.920860821827737,-76.71268907069275
-2.0794036389629835e-06,-3.9790437546193655,-6.010714774531144,-13.052627265292413,-6.989065643358629,-74.99041204916003
-9.869823039256322e-07,-4.004793221554886,-6.028220279623636,-13.018633836513864,-6.971768232889926,-75.49422238330155
-8.355741031475452e-09,-4.0000766785019595,-5.9972619991677,-12.99710864216378,-7.002737997892504,-74.7345483457041
-2.0537756749234656e-06,-4.016915876823231,-5.97347057195045,-12.939638818303989,-7.026386354605201,-74.21888938312816
-7.602877400798117e-08,-4.003923140488972,-6.002619498315008,-12.994773217337064,-6.997372806169343,-74.87543881087402
-3.576860200169443e-07,-4.003499629802662,-5.98347947388875,-12.976480214283425,-7.016514402406873,-74.41525449374625
-9.877209523902226e-06,-3.953988259570681,-5.979477633124523,-13.07150111398316,-7.01946382674681,-74.16149137675053
-1.1786896493282594e-05,-4.048116010195174,-6.03670974115335,-12.940477720763003,-6.962132683628099,-75.83816326058347
-6.208205993813186e-06,-4.00234778654471,-5.925398813764166,-12.920703240674747,-7.074598430185005,-73.02821622367898
-7.249999999999347e-07,-3.99925,-6.025499999999999,-13.027,-6.974499718750001,-75.41090061249997
-3.1907512000490993e-07,-4.007990825019678,-6.005635110471321,-12.989653460431965,-6.994332962886432,-74.96088957097162
-8.871147241220542e-06,-4.040155647196153,-6.039167952590489,-12.958856658198183,-6.96002580940864,-75.87191968542004
-6.422060934769709e-06,-4.031761611857807,-5.958230933813781,-12.894707710098167,-7.041264666192316,-73.90287063925344
-9.446297417044142e-06,-4.015084928667102,-6.08712891244457,-13.056959055110365,-6.912757310018983,-76.95459407618654
-2.0023220623108422e-07,-3.99747814969636,-5.987559338048476,-12.992603038655757,-7.012437482087047,-74.49366500427716
-5.6991148578036905e-06,-3.983422887581191,-5.936517713120586,-12.969671937958204,-7.0633448865513415,-73.23149331677998
-5.173646796594853e-07,-4.008405181265072,-6.013529224785577,-12.996718862255433,-6.986435451678373,-75.1519781841631
-7.47040109888628e-08,-4.001964747012886,-5.992803286403409,-12.988873792377635,-7.00719478348118,-74.6336704215424
-7.413943505827894e-08,-4.002548546173204,-6.0063831920826996,-13.00128609973629,-6.993613560373502,-74.9614347470389
-1.5847581133824115e-06,-4.013030270259822,-5.972666311447809,-12.946605770928166,-7.027248794580669,-74.1872165582272
