,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S3,Lower_S3,Upper_S3,S3
iter_31,1.10176855281191,1.009125056131605,1.1780819895307262,4,1.0258209854664173,0.899350608939784,1.1236473963055282,5,1.1340575384917417,0.9921974904834848,1.2408126537879198,4
iter_32,1.0968042334581523,0.9941852249112885,1.179750205312689,4,1.0246733143255369,0.8996083111828028,1.1216590696368924,5,1.1340575384917417,0.9921974904834848,1.2408126537879198,4
iter_33,1.06149011338888,0.996537657057192,1.1179802772158043,4,1.0246733143255369,0.8996083111828028,1.1216590696368924,5,1.1340575384917417,0.9921974904834848,1.2408126537879198,4
iter_34,1.0503179303452388,0.976806164647181,1.1131692933749404,4,1.0246733143255369,0.8996083111828028,1.1216590696368924,5,1.12650847980374,0.9776527046177562,1.237160989691974,4
iter_35,1.0503179303452388,0.976806164647181,1.1131692933749404,4,1.0246733143255369,0.8996083111828028,1.1216590696368924,5,1.125331700196906,0.9761402584159492,1.2361687709989344,4
iter_36,1.0489638563112038,0.9778220702230807,1.1100756710345838,4,0.9889078675094396,0.7478905628254248,1.1429988898543693,5,1.124986492883093,0.9756850950838402,1.2358839731947446,4
iter_37,1.0489638563112038,0.9778220702230807,1.1100756710345838,4,0.9851640678294583,0.7472395060413999,1.1380036550294363,5,1.124986492883093,0.9756850950838402,1.2358839731947446,4
iter_38,1.0489638563112038,0.9778220702230807,1.1100756710345838,4,0.9851640678294583,0.7472395060413999,1.1380036550294363,5,1.124986492883093,0.9756850950838402,1.2358839731947446,4
iter_39,1.0489638563112038,0.9778220702230807,1.1100756710345838,4,0.9851640678294583,0.7472395060413999,1.1380036550294363,5,1.1236125678288706,0.9738217121196726,1.2347786675874883,4
iter_40,1.0469717079471355,0.9792336539620276,1.105556158544048,4,0.9833691909878248,0.7457078115459619,1.1361017057382996,5,1.1236125678288706,0.9738217121196726,1.2347786675874883,4
iter_41,1.0443461020248055,0.9775387688951336,1.1022334272314274,4,0.9819097848012718,0.7442605259896753,1.1346373662255058,5,1.1196659613691757,0.9635547504152676,1.2342590568628142,4
iter_42,1.0443461020248055,0.9775387688951336,1.1022334272314274,4,0.9813628192758934,0.7436990931330195,1.1340962891557724,5,1.1118934504376257,0.9464887388578381,1.2313886576065058,4
iter_43,1.0443461020248055,0.9775387688951336,1.1022334272314274,4,0.9792799824588051,0.7336037213038176,1.135232756343595,5,1.1118934504376257,0.9464887388578381,1.2313886576065058,4
iter_44,1.0443461020248055,0.9775387688951336,1.1022334272314274,4,0.9792799824588051,0.7336037213038176,1.135232756343595,5,1.1118934504376257,0.9464887388578381,1.2313886576065058,4
iter_45,1.0443461020248055,0.9775387688951336,1.1022334272314274,4,0.9792799824588051,0.7336037213038176,1.135232756343595,5,1.1116193002320072,0.9461142452746131,1.2311665684116013,4
iter_46,1.0439755006262927,0.9778260038743098,1.1013685159213296,4,0.9791622983119466,0.7334793145841281,1.1351177384523727,5,1.1116193002320072,0.9461142452746131,1.2311665684116013,4
iter_47,1.0439755006262927,0.9778260038743098,1.1013685159213296,4,0.9791622983119466,0.7334793145841281,1.1351177384523727,5,1.1116193002320072,0.9461142452746131,1.2311665684116013,4
iter_48,1.0439755006262927,0.9778260038743098,1.1013685159213296,4,0.9225625932278465,0.6234958681005857,1.0979974515488797,5,1.1051849231280162,0.9299809168826421,1.2296793526657952,4
iter_49,1.043857151096167,0.9775818605698362,1.1013447915076962,4,0.9225625932278465,0.6234958681005857,1.0979974515488797,5,1.1051849231280162,0.9299809168826421,1.2296793526657952,4
iter_50,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9224409547139263,0.6234139242716734,1.097862500606704,5,1.1011778433797819,0.9190162040182238,1.2291202453858983,4
iter_51,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9191762752585442,0.6061538606768421,1.0991925296853893,5,1.1011778433797819,0.9190162040182238,1.2291202453858983,4
iter_52,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9191423834593895,0.6061300896992122,1.099155385637271,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_53,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9191423834593895,0.6061300896992122,1.099155385637271,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_54,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9191423834593895,0.6061300896992122,1.099155385637271,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_55,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9191423834593895,0.6061300896992122,1.099155385637271,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_56,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9177027299170117,0.6065119815541653,1.0971287575757933,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_57,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9177027299170117,0.6065119815541653,1.0971287575757933,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
iter_58,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9177027299170117,0.6065119815541653,1.0971287575757933,5,1.0891686791693151,0.8819535195898625,1.2288710166119272,4
